Time,GMSL
11-1935,-102.8
12-1935,-101
01-1936,-97.1
02-1936,-94.7
03-1936,-99.2
04-1936,-102.5
05-1936,-104.4
06-1936,-101.9
07-1936,-102.9
08-1936,-100.9
09-1936,-103.6
10-1936,-99.3
11-1936,-100.6
12-1936,-97.6
01-1937,-98.9
02-1937,-93.9
03-1937,-95.5
04-1937,-93.5
05-1937,-94.9
06-1937,-96.9
07-1937,-96.6
08-1937,-97.4
09-1937,-93.9
10-1937,-93.4
11-1937,-91.5
12-1937,-89.9
01-1938,-87.7
02-1938,-86.4
03-1938,-85.9
04-1938,-88
05-1938,-93.7
06-1938,-96.8
07-1938,-101.3
08-1938,-97.8
09-1938,-96.1
10-1938,-90.7
11-1938,-89.9
12-1938,-90.6
01-1939,-90
02-1939,-94.4
03-1939,-91.8
04-1939,-89.7
05-1939,-84.4
06-1939,-77.7
07-1939,-77.6
08-1939,-80.4
09-1939,-86.9
10-1939,-91
11-1939,-89.4
12-1939,-89.2
01-1940,-88.3
02-1940,-89.5
03-1940,-91.2
04-1940,-95.9
05-1940,-96.6
06-1940,-101
07-1940,-99.1
08-1940,-96.2
09-1940,-92.2
10-1940,-87.9
11-1940,-84.7
12-1940,-83.7
01-1941,-84.4
02-1941,-81.2
03-1941,-80.8
04-1941,-79.4
05-1941,-81.3
06-1941,-81.3
07-1941,-78.3
08-1941,-73.9
09-1941,-74.4
10-1941,-77.8
11-1941,-83.5
12-1941,-83.6
01-1942,-85.2
02-1942,-84.2
03-1942,-85.5
04-1942,-86
05-1942,-84.8
06-1942,-81.8
07-1942,-78.4
08-1942,-75.4
09-1942,-73.5
10-1942,-74.4
11-1942,-74.5
12-1942,-76.9
01-1943,-74.4
02-1943,-73.6
03-1943,-74.1
04-1943,-74.3
05-1943,-78.4
06-1943,-78.2
07-1943,-82.3
08-1943,-82.8
09-1943,-84.2
10-1943,-84.9
11-1943,-86.1
12-1943,-86.7
01-1944,-83.2
02-1944,-77.1
03-1944,-74.4
04-1944,-79
05-1944,-86.3
06-1944,-92.1
07-1944,-94.9
08-1944,-95.1
09-1944,-93.2
10-1944,-90.2
11-1944,-86.5
12-1944,-85.3
01-1945,-84.3
02-1945,-84.6
03-1945,-85.4
04-1945,-84.1
05-1945,-82.8
06-1945,-78.8
